model,threshold_label,threshold,accuracy,balanced_accuracy,f1,precision,recall,mcc,predicted_positive_rate,roc_auc,average_precision
hgb_labelcoded,base_rate,0.10783892232731442,0.49863857838922326,0.7093802923406598,0.29614726888642995,0.17449027975343764,0.9780730897009967,0.26564297761025035,0.6044711951848667,0.8792052887184874,0.5011765245304683
hgb_labelcoded,best_f1,0.7100000000000001,0.8909429635998853,0.7364769431053451,0.5162110616656072,0.4948202315661182,0.5395348837209303,0.4554258381707305,0.11758383490971624,0.8792052887184874,0.5011765245304683
hgb_labelcoded,best_balanced_accuracy,0.5,0.792633992548008,0.7917828585730482,0.45127038301099737,0.31573361634385777,0.7906976744186046,0.4076842325011395,0.27006305531670965,0.8792052887184874,0.5011765245304683
hgb_labelcoded,best_mcc,0.7100000000000001,0.8909429635998853,0.7364769431053451,0.5162110616656072,0.4948202315661182,0.5395348837209303,0.4554258381707305,0.11758383490971624,0.8792052887184874,0.5011765245304683
hgb_labelcoded,recall_at_least_0.80,0.48000000000000004,0.7802378905130409,0.7912611323431039,0.44144964487342925,0.30406422478675366,0.8053156146179402,0.4000061508241128,0.28561192318715967,0.8792052887184874,0.5011765245304683
catboost_native,0.50,0.5,0.8118372026368587,0.7861892105425361,0.4634246015529219,0.33461197993508407,0.7534883720930232,0.41403969567531773,0.24283462310117512,0.8783187036705481,0.5117428445407711
catboost_native,base_rate,0.10783892232731442,0.5043708799082832,0.7123008172101082,0.2984075464043006,0.17608331338281064,0.9774086378737542,0.2686787012872301,0.5985955861278304,0.8783187036705481,0.5117428445407711
catboost_native,best_f1,0.74,0.8947406133562625,0.7254622038657317,0.5108225108225108,0.5120160213618158,0.5096345514950166,0.4518497435196533,0.10733734594439667,0.8783187036705481,0.5117428445407711
catboost_native,best_balanced_accuracy,0.4,0.7568787618228718,0.7918970337143529,0.42598545085433936,0.28574670903313665,0.8365448504983388,0.38958848466812906,0.3157065061622241,0.8783187036705481,0.5117428445407711
catboost_native,best_mcc,0.78,0.9008311837202637,0.7125197485105067,0.5067712045616536,0.5465026902382782,0.47242524916943524,0.45345054944644503,0.09322155345371166,0.8783187036705481,0.5117428445407711
catboost_native,recall_at_least_0.80,0.44,0.7797363141301232,0.7895196879408477,0.43986880466472306,0.30303791112226963,0.8019933554817276,0.39770440515921446,0.2853969618801949,0.8783187036705481,0.5117428445407711
rank_ensemble,0.50,0.5,0.5973058182860419,0.7532863842875367,0.337732736271506,0.20527145108150693,0.9521594684385382,0.3142543381204513,0.5002149613069647,0.8807351662370313,0.5231559009872208
rank_ensemble,base_rate,0.10783892232731442,0.20149039839495558,0.551317470130753,0.21221546726989962,0.11874060596471799,0.9973421926910299,0.10897126897896868,0.9057752937804529,0.8807351662370313,0.5231559009872208
rank_ensemble,best_f1,0.88,0.895457151046145,0.7334575589466856,0.5208538587848933,0.5149350649350649,0.5269102990033223,0.46222889420877206,0.11034680424190313,0.8807351662370313,0.5231559009872208
rank_ensemble,best_balanced_accuracy,0.73,0.7976497563771855,0.7937176722786545,0.45671412081569834,0.3214189006227999,0.7887043189368771,0.4130509464865158,0.26461736887360277,0.8807351662370313,0.5231559009872208
rank_ensemble,best_mcc,0.88,0.895457151046145,0.7334575589466856,0.5208538587848933,0.5149350649350649,0.5269102990033223,0.46222889420877206,0.11034680424190313,0.8807351662370313,0.5231559009872208
rank_ensemble,recall_at_least_0.80,0.7100000000000001,0.7810260819719117,0.7919949324274744,0.4425392192630427,0.3050037716872014,0.8059800664451827,0.4012863338512571,0.28496703926626543,0.8807351662370313,0.5231559009872208
