model,threshold_label,threshold,accuracy,balanced_accuracy,f1,precision,recall,mcc,predicted_positive_rate,roc_auc,average_precision
hgb_labelcoded,base_rate,0.10783892232731442,0.5172685583261679,0.7186529467939572,0.30352527654295464,0.17972575905974536,0.9754152823920266,0.2753173439420613,0.5852679850960161,0.8775207050841959,0.49431358942900006
hgb_labelcoded,best_f1,0.66,0.8796216680997421,0.7491165234830168,0.5107746068724519,0.454639709694142,0.5827242524916944,0.4477732316084858,0.1382201203783319,0.8775207050841959,0.49431358942900006
hgb_labelcoded,best_balanced_accuracy,0.43,0.7743622814560046,0.79030477211533,0.4365718375380211,0.2987267384916748,0.8106312292358804,0.3958303561364637,0.29263399254800804,0.8775207050841959,0.49431358942900006
hgb_labelcoded,best_mcc,0.76,0.9024792204069934,0.7096464786481279,0.5063474791439971,0.5575079872204473,0.46378737541528237,0.4551091083128777,0.08971051877328748,0.8775207050841959,0.49431358942900006
hgb_labelcoded,recall_at_least_0.80,0.44,0.7805961593579822,0.7894174399526543,0.44042397660818716,0.30375598689185784,0.8006644518272426,0.39804571497508473,0.28425050157638293,0.8775207050841959,0.49431358942900006
catboost_native,0.50,0.5,0.8182143880768128,0.7859663302071029,0.4691358024691358,0.34239462431276724,0.7448504983388704,0.41864859685616185,0.23459443966752652,0.8767654521338263,0.5092791599526656
catboost_native,base_rate,0.10783892232731442,0.5154772141014617,0.716772805877445,0.302311184482047,0.1789422254794186,0.973421926910299,0.27308163638607424,0.5866294067067928,0.8767654521338263,0.5092791599526656
catboost_native,best_f1,0.73,0.8940957294353683,0.7262690610982426,0.5105960264900662,0.5089108910891089,0.5122923588039867,0.451223360354099,0.1085554600171969,0.8767654521338263,0.5092791599526656
catboost_native,best_balanced_accuracy,0.39,0.7571653768988249,0.7876766359344578,0.4233452441721967,0.2845379688929552,0.826578073089701,0.384761380696831,0.31327027801662366,0.8767654521338263,0.5092791599526656
catboost_native,best_mcc,0.76,0.8979650329607337,0.7185072327377139,0.5086266390614217,0.5290739411342427,0.48970099667774086,0.45221393505339497,0.09981370020063056,0.8767654521338263,0.5092791599526656
catboost_native,recall_at_least_0.80,0.42000000000000004,0.7741473201490399,0.7855112039193639,0.4330935251798561,0.2969173859432799,0.8,0.3901113248669439,0.2905560332473488,0.8767654521338263,0.5092791599526656
rank_ensemble,0.50,0.5,0.5960877042132416,0.7520195712041702,0.33674549947052596,0.20460394623963396,0.9508305647840531,0.31268338658742373,0.5011464603038119,0.8802415368577048,0.5216072132459159
rank_ensemble,base_rate,0.10783892232731442,0.19604471195184867,0.5485575749296044,0.21119235095613048,0.11809104489346647,0.9980066445182725,0.10598539377472439,0.9113642877615362,0.8802415368577048,0.5216072132459159
rank_ensemble,best_f1,0.88,0.8948122671252507,0.7310516627171869,0.5171052631578947,0.5120521172638437,0.5222591362126245,0.45811761341083934,0.10998853539696188,0.8802415368577048,0.5216072132459159
rank_ensemble,best_balanced_accuracy,0.7000000000000001,0.7737890513040986,0.7946566087234718,0.4391543791081897,0.2997090203685742,0.8212624584717608,0.40062337481067,0.295500143307538,0.8802415368577048,0.5216072132459159
rank_ensemble,best_mcc,0.89,0.8987532244196045,0.7221617177875478,0.514266070814713,0.5327635327635327,0.49700996677740866,0.45817307915208255,0.10060189165950129,0.8802415368577048,0.5216072132459159
rank_ensemble,recall_at_least_0.80,0.7100000000000001,0.781957580968759,0.792809047345995,0.4437945530981539,0.30610186585980836,0.8066445182724252,0.4027409171736174,0.28417884780739466,0.8802415368577048,0.5216072132459159
